scenario,token,observed,operator_bound,online_bound,online_realized_bound,diagonal_bound,structural_bound,transition_bound,A_norm,B_norm,spectral_radius_A,coefficient_error,update_error,rounding_error,rounding_bound,state_bound,energy_identity_error,driven_energy_identity_error,decomposition_error,approx_decomposition_error
contractive-fp8,21,0.01925170474103802,0.6384973499457071,0.6574964045070033,0.15322016756426818,nan,0.6656393899100582,0.08299374370826929,0.9064315967927805,1.0,0.9064162616593396,0.0002873567077451639,0.0010755646789542522,0.01015941755848186,0.0625,0.9366274061530505,2.168404344971009e-19,2.7755575615628914e-17,4.7425588902611946e-17,4.741482316442048e-17
contractive-fp8,22,0.01583273237239995,0.6228382408988469,0.6418409389723239,0.14579106726777818,nan,0.6472607851476926,0.07608776614801539,0.8752474176483861,1.0,0.8752402496919803,0.0003116774653957747,0.0011834067181330913,0.008206388907375113,0.0625,0.8762931781558817,2.710505431213761e-20,0.0,5.041723167145107e-17,5.1121957607901853e-17
contractive-fp8,23,0.01552216985108188,0.6086718287462385,0.626706034406651,0.13668754134999475,nan,0.6302380380509337,0.06444819969198508,0.8751223554091522,1.0,0.8751212301404981,0.00027623777970781977,0.0008359225522388904,0.0066481545514193675,0.0625,0.7894793189668087,1.3552527156068805e-19,6.938893903907228e-17,3.131178833472762e-17,3.096714570130329e-17
contractive-fp8,24,0.017566033149097604,0.6175012140171838,0.6369005552147142,0.14082497784195755,nan,0.6378275426194079,0.06717695188971,0.9067791089357589,1.0,0.9067724067691016,0.0004462720117575441,0.0026240435006134053,0.010890319874512994,0.0625,0.8802886538250524,2.710505431213761e-20,5.551115123125783e-17,3.1407135919084584e-17,3.0859863195135716e-17
marginal,1,0.0002,0.0002,0.0002,0.0002,0.0002,nan,0.0002,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,2,0.00045,0.00045,0.00045,0.00045,0.00045,nan,0.00045,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,3,0.00075,0.00075,0.00075,0.00075,0.00075,nan,0.00075,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,4,0.00095,0.00095,0.00095,0.00095,0.00095,nan,0.00095,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,5,0.0012000000000000001,0.0012000000000000001,0.0012000000000000001,0.0012000000000000001,0.0012000000000000001,nan,0.0012000000000000001,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,6,0.0015,0.0015,0.0015,0.0015,0.0015,nan,0.0015,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,7,0.0017000000000000001,0.0017000000000000001,0.0017000000000000001,0.0017000000000000001,0.0017000000000000001,nan,0.0017000000000000001,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,8,0.0019500000000000001,0.0019500000000000001,0.0019500000000000001,0.0019500000000000001,0.0019500000000000001,nan,0.0019500000000000001,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,9,0.0022500000000000003,0.0022500000000000003,0.0022500000000000003,0.0022500000000000003,0.0022500000000000003,nan,0.0022500000000000003,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,10,0.0024500000000000004,0.0024500000000000004,0.0024500000000000004,0.0024500000000000004,0.0024500000000000004,nan,0.0024500000000000004,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
